frame	time_s	dir	data
31498	64.585530	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001de021f000601d8f5003e3a0000220080da02
31529	64.644490	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
31548	64.647532	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001de021f000601d8f5003e3a0000220080da02
31588	64.706260	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
31592	64.709531	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e0012e043b000601d8f5003e3a0000224080da02
31612	64.763798	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
31618	64.766533	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e0012e043b000601d8f5003e3a0000224080da02
31664	64.830092	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
31668	64.833532	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e0014c011c000601d8f5003e3a0000220080da02
31689	64.892982	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
31696	64.896534	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001af0005000601d8f5003e3a0000224080da02
31736	64.955318	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
31740	64.958538	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001af0005000601d8f5003e3a0000224080da02
31762	65.018345	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
31766	65.021536	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001170107000601d8f5003e3a0000220080da02
31830	65.077539	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
31832	65.080535	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001dd0006000601d8f5003e3a0000224080da02
31862	65.143155	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
31868	65.146540	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001dd0006000601d8f5003e3a0000224080da02
31908	65.205295	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
31912	65.208537	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001ea0223000601d8f5003e3a0000220080da02
31933	65.268422	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
31937	65.271537	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001680222000601d8f5003e3a0000224080da02
31978	65.330759	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
31982	65.333537	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001680222000601d8f5003e3a0000224080da02
32003	65.394304	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32010	65.397538	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001970007000601d8f5003e3a0000220080da02
32053	65.456178	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32057	65.459539	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001970007000601d8f5003e3a0000220080da02
32081	65.515334	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32083	65.518539	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e0015b0108000601d8f5003e3a0000224080da02
32126	65.580837	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32130	65.583539	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001a8011c000601d8f5003e3a0000220080da02
32151	65.643161	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32158	65.646541	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001a8011c000601d8f5003e3a0000220080da02
32222	65.705097	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32226	65.708542	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001410435000601d8f5003e3a0000224080da02
32247	65.768024	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32251	65.771542	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001aa0109000601d8f5003e3a0000220080da02
32298	65.830176	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32302	65.833542	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001aa0109000601d8f5003e3a0000220080da02
32324	65.892435	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32330	65.895544	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001620116000601d8f5003e3a0000224080da02
32368	65.951596	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32370	65.954546	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001620116000601d8f5003e3a0000224080da02
32395	66.017730	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32399	66.020546	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e0017e0005000601d8f5003e3a0000220080da02
32466	66.080315	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32468	66.083545	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001f8021a000601d8f5003e3a0000224080da02
32493	66.141870	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32495	66.144545	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001f8021a000601d8f5003e3a0000224080da02
32546	66.205037	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32548	66.208548	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001f0021c000601d8f5003e3a0000220080da02
32569	66.267056	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32574	66.270547	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001f0021c000601d8f5003e3a0000220080da02
32616	66.330171	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32618	66.333551	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001240339000601d8f5003e3a0000224080da02
32640	66.392366	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32646	66.395552	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001e8032a000601d8f5003e3a0000220080da02
32684	66.454268	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32690	66.457557	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001e8032a000601d8f5003e3a0000220080da02
32715	66.514011	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32720	66.517551	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e0013a0317000601d8f5003e3a0000224080da02
32762	66.577733	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32766	66.580552	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e0013a0317000601d8f5003e3a0000224080da02
32788	66.640135	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32792	66.643558	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e0012b0107000601d8f5003e3a0000220080da02
32858	66.703312	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32862	66.706554	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001370225000601d8f5003e3a0000224080da02
32883	66.766028	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32888	66.769552	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001370225000601d8f5003e3a0000224080da02
32929	66.825618	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32933	66.828553	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001cc0109000601d8f5003e3a0000220080da02
32959	66.891331	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
32964	66.894552	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001b30006000601d8f5003e3a0000224080da02
33004	66.953923	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
33010	66.957554	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001b30006000601d8f5003e3a0000224080da02
33031	67.016230	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
33036	67.019554	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001020216000601d8f5003e3a0000220080da02
33081	67.079267	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
33089	67.082557	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001020216000601d8f5003e3a0000220080da02
33126	67.142610	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
33132	67.145554	IN 	050001d8f50000000f09000200000000000000000060f000ffffff0000000000000000f60100000000000000e001110325000601d8f5003e3a0000224080da02
33180	67.205279	OUT	050101d8f50000000f09000200000000000000000060f000ffff000000000000000000f601000000000000000000000000000000000000000000000000000000
